Complaint Type,Location Type,Street Name,Borough
Noise - Vehicle,Street/Sidewalk,GRAND CONCOURSE,BRONX
Noise - Vehicle,Street/Sidewalk,13 AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,MACOMBS ROAD,BRONX
Noise - Vehicle,Street/Sidewalk,13 AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,17 AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,EAST  102 STREET,MANHATTAN
Noise - Vehicle,Street/Sidewalk,NOSTRAND AVENUE,BROOKLYN
Noise - Vehicle,Street/Sidewalk,EAST   51 STREET,MANHATTAN
Non-Emergency Police Matter,Residential Building/House,96 PLACE,QUEENS
Noise - Residential,Residential Building/House,EAST  152 STREET,BRONX
Noise - Residential,Residential Building/House,WEST  262 STREET,BRONX
Noise - Residential,Residential Building/House,EUCLID AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,MALCOLM X BOULEVARD,MANHATTAN
Noise - Residential,Residential Building/House,GRAND CONCOURSE,BRONX
Noise - Residential,Residential Building/House,WEST MOSHOLU PARKWAY NORTH,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,EAST   27 STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,DUNHAM PLACE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,EAST   88 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WEST   51 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,JACKSON AVENUE,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,61 STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,ELLWOOD STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,COLUMBIA STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,JACKSON STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,THAYER STREET,MANHATTAN
Non-Emergency Police Matter,Street/Sidewalk,MORNINGSIDE AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,BOUCK AVENUE,BRONX
Noise - Residential,Residential Building/House,EAST  233 STREET,BRONX
Noise - Residential,Residential Building/House,JEROME AVENUE,BRONX
Noise - Residential,Residential Building/House,67 STREET,QUEENS
Noise - Residential,Residential Building/House,SOUTH PINEHURST AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,DAVIS AVENUE,BRONX
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Noise - Street/Sidewalk,Street/Sidewalk,ST ANNS AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WASHINGTON AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,CUMBERLAND STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,MONROE AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WARREN STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,124 STREET,QUEENS
